Datetime,AEP,DAYTON,DOM,DUQ,PJME,PJMW,PJM_HOURLY_EST
2005-05-01T00:00:00Z,12586,1587,7190,1312,24551,7079,12586
2005-05-01T01:00:00Z,11832,1498,7190,1255,23073,4433,11832
2005-05-01T02:00:00Z,11425,1446,6803,1224,21830,4288,11425
2005-05-01T03:00:00Z,11238,1422,6583,1198,21051,4226,11238
2005-05-01T04:00:00Z,11221,1433,6452,1162,20665,4201,11221
2005-05-01T05:00:00Z,11282,1435,6445,1144,20526,4242,11282
2005-05-01T06:00:00Z,11575,1475,6536,1174,20837,4310,11575
2005-05-01T07:00:00Z,11821,1507,6702,1189,21338,4382,11821
2005-05-01T08:00:00Z,12208,1567,7137,1215,22491,4601,12208
2005-05-01T09:00:00Z,12629,1639,7743,1292,24313,4884,12629
2005-05-01T10:00:00Z,13354,1691,8215,1328,25744,4993,13354
2005-05-01T11:00:00Z,12904,1685,8383,1343,26439,4999,12904
2005-05-01T12:00:00Z,12799,1697,8395,1388,26610,5013,12799
2005-05-01T13:00:00Z,12902,1682,8401,1415,26420,5004,12902
2005-05-01T14:00:00Z,12868,1664,8308,1418,26033,4977,12868
2005-05-01T15:00:00Z,12697,1641,8186,1430,25645,4851,12697
2005-05-01T16:00:00Z,12529,1623,8137,1420,25438,4811,12529
2005-05-01T17:00:00Z,12586,1638,8205,1399,25559,4853,12586
2005-05-01T18:00:00Z,12698,1664,8299,1395,25752,4901,12698
2005-05-01T19:00:00Z,12795,1684,8426,1404,25993,4984,12795
2005-05-01T20:00:00Z,13106,1716,8591,1419,26510,5077,13106
2005-05-01T21:00:00Z,13882,1805,9261,1523,28774,5400,13882
2005-05-01T22:00:00Z,14218,1872,9008,1551,28323,5399,14218
2005-05-01T23:00:00Z,13719,1805,8278,1490,26433,5149,13719
2005-05-02T00:00:00Z,13014,1703,7516,1393,24270,4878,13014
2005-05-02T01:00:00Z,12429,1619,6897,1298,22705,4706,12429
2005-05-02T02:00:00Z,12136,1573,6661,1251,21874,4695,12136
2005-05-02T03:00:00Z,12146,1569,6601,1271,21667,4668,12146
2005-05-02T04:00:00Z,12264,1568,6638,1277,21756,4688,12264
2005-05-02T05:00:00Z,12681,1628,6855,1300,22532,4856,12681
2005-05-02T06:00:00Z,13513,1774,7666,1379,24762,5235,13513
2005-05-02T07:00:00Z,14971,2013,8911,1520,28100,5788,14971
2005-05-02T08:00:00Z,15918,2135,9499,1601,30314,6044,15918
2005-05-02T09:00:00Z,16160,2169,9399,1652,30922,6077,16160
2005-05-02T10:00:00Z,16140,2171,9371,1661,31145,6061,16140
2005-05-02T11:00:00Z,16147,2196,9389,1686,31535,6059,16147
2005-05-02T12:00:00Z,16106,2167,9360,1721,31539,6028,16106
2005-05-02T13:00:00Z,15922,2167,9308,1717,31393,5994,15922
2005-05-02T14:00:00Z,15709,2177,9286,1695,31278,5943,15709
2005-05-02T15:00:00Z,15441,2138,9162,1682,31020,5884,15441
2005-05-02T16:00:00Z,15173,2108,9141,1666,30818,5824,15173
2005-05-02T17:00:00Z,15123,2091,9153,1623,31041,5807,15123
2005-05-02T18:00:00Z,15183,2095,9177,1621,31221,5813,15183
2005-05-02T19:00:00Z,15227,2100,9192,1566,31313,5841,15227
2005-05-02T20:00:00Z,15412,2114,9328,1578,31573,5895,15412
2005-05-02T21:00:00Z,16163,2182,9869,1628,32534,6221,16163
2005-05-02T22:00:00Z,16351,2177,9547,1670,31447,6195,16351
2005-05-02T23:00:00Z,15500,2037,8668,1568,28858,5858,15500
2005-05-03T00:00:00Z,14541,1883,7819,1473,26277,5439,14541
2005-05-03T01:00:00Z,13697,1774,7288,1351,24489,5229,13697
2005-05-03T02:00:00Z,13446,1721,7045,1334,23663,5111,13446
2005-05-03T03:00:00Z,13216,1678,6982,1329,23331,5084,13216
2005-05-03T04:00:00Z,13400,1699,7040,1371,23355,5096,13400
2005-05-03T05:00:00Z,13649,1736,7331,1362,24051,5222,13649
2005-05-03T06:00:00Z,14524,1893,8183,1401,26238,5608,14524
2005-05-03T07:00:00Z,15959,2125,9509,1545,29545,6101,15959
2005-05-03T08:00:00Z,16723,2247,9993,1652,31473,6329,16723
2005-05-03T09:00:00Z,16671,2260,9659,1660,31603,6208,16671
2005-05-03T10:00:00Z,16274,2260,9423,1740,31493,6098,16274
2005-05-03T11:00:00Z,16121,2235,9311,1734,31527,6093,16121
2005-05-03T12:00:00Z,15885,2212,9197,1760,31465,6050,15885
2005-05-03T13:00:00Z,15719,2202,9077,1758,31231,5942,15719
2005-05-03T14:00:00Z,15537,2174,8998,1715,31088,5916,15537
2005-05-03T15:00:00Z,15246,2138,8923,1696,30786,5829,15246
2005-05-03T16:00:00Z,15018,2084,8879,1685,30523,5785,15018
2005-05-03T17:00:00Z,14980,2055,8884,1663,30384,5773,14980
2005-05-03T18:00:00Z,14885,2037,8919,1660,30409,5824,14885
2005-05-03T19:00:00Z,14833,2019,8897,1632,30207,5833,14833
2005-05-03T20:00:00Z,14896,2030,9086,1650,30706,5957,14896
2005-05-03T21:00:00Z,15522,2110,9688,1707,32303,6216,15522
2005-05-03T22:00:00Z,15878,2156,9350,1726,31394,6094,15878
2005-05-03T23:00:00Z,15328,2030,8479,1601,28719,5726,15328
2005-05-04T00:00:00Z,14392,1880,7638,1471,26087,5336,14392
2005-05-04T01:00:00Z,13682,1785,7052,1417,24158,5100,13682
2005-05-04T02:00:00Z,13284,1735,6800,1365,23356,4985,13284
2005-05-04T03:00:00Z,13026,1695,6708,1336,22951,4991,13026
2005-05-04T04:00:00Z,13211,1711,6746,1347,22864,5026,13211
2005-05-04T05:00:00Z,13561,1751,6986,1337,23507,5119,13561
2005-05-04T06:00:00Z,14437,1888,7779,1427,25578,5503,14437
2005-05-04T07:00:00Z,15908,2125,9096,1592,28893,6072,15908
2005-05-04T08:00:00Z,16663,2249,9663,1656,30968,6284,16663
2005-05-04T09:00:00Z,16562,2232,9554,1694,31416,6161,16562
2005-05-04T10:00:00Z,16183,2199,9539,1696,31502,6093,16183
2005-05-04T11:00:00Z,15852,2187,9437,1715,31655,6026,15852
2005-05-04T12:00:00Z,15594,2158,9363,1720,31525,5905,15594
2005-05-04T13:00:00Z,15382,2131,9263,1724,31282,5828,15382
2005-05-04T14:00:00Z,15232,2111,9168,1687,31146,5790,15232
2005-05-04T15:00:00Z,15049,2088,9068,1679,30806,5704,15049
2005-05-04T16:00:00Z,14760,2044,8994,1664,30580,5641,14760
2005-05-04T17:00:00Z,14656,2019,8982,1649,30607,5664,14656
2005-05-04T18:00:00Z,14511,1996,9020,1590,30400,5602,14511
2005-05-04T19:00:00Z,14389,1961,9067,1594,30083,5530,14389
2005-05-04T20:00:00Z,14434,1944,9167,1575,30272,5628,14434
2005-05-04T21:00:00Z,15052,2019,9796,1634,32104,5960,15052
